uuid,name,type,timestamp,temperature,previous_timestamp,previous_temperature,gap_sec,threshold_temp,expected_interval_sec,status,reason
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T05:04:20.528000,118.4,2026-06-14T04:34:20.495000,116.3,1800.033,180.0,1800,OK,"prev_temp 116.3 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T05:34:20.559000,119.4,2026-06-14T05:04:20.528000,118.4,1800.031,180.0,1800,OK,"prev_temp 118.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T06:04:20.590000,116.9,2026-06-14T05:34:20.559000,119.4,1800.031,180.0,1800,OK,"prev_temp 119.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T06:34:20.621000,80.8,2026-06-14T06:04:20.590000,116.9,1800.031,180.0,1800,OK,"prev_temp 116.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T07:04:20.653000,77.19999,2026-06-14T06:34:20.621000,80.8,1800.032,180.0,1800,OK,"prev_temp 80.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T07:34:20.685000,75.59999,2026-06-14T07:04:20.653000,77.19999,1800.032,180.0,1800,OK,"prev_temp 77.19999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T08:04:20.717000,74.8,2026-06-14T07:34:20.685000,75.59999,1800.032,180.0,1800,OK,"prev_temp 75.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T09:04:20.779000,74.8,2026-06-14T08:04:20.717000,74.8,3600.062,180.0,1800,WARNING,"prev_temp 74.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T09:34:20.810000,75.69999,2026-06-14T09:04:20.779000,74.8,1800.031,180.0,1800,OK,"prev_temp 74.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T10:04:20.842000,70.8,2026-06-14T09:34:20.810000,75.69999,1800.032,180.0,1800,OK,"prev_temp 75.69999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T10:34:20.871000,57.59999,2026-06-14T10:04:20.842000,70.8,1800.029,180.0,1800,OK,"prev_temp 70.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T11:04:20.901000,51.29999,2026-06-14T10:34:20.871000,57.59999,1800.03,180.0,1800,OK,"prev_temp 57.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T12:04:20.958000,103.9,2026-06-14T11:04:20.901000,51.29999,3600.057,180.0,1800,WARNING,"prev_temp 51.29999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T12:34:20.991000,112.6999,2026-06-14T12:04:20.958000,103.9,1800.033,180.0,1800,OK,"prev_temp 103.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T13:04:21.023000,116.4,2026-06-14T12:34:20.991000,112.6999,1800.032,180.0,1800,OK,"prev_temp 112.6999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T13:34:21.055000,117.8,2026-06-14T13:04:21.023000,116.4,1800.032,180.0,1800,OK,"prev_temp 116.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T14:04:21.085000,118.3,2026-06-14T13:34:21.055000,117.8,1800.03,180.0,1800,OK,"prev_temp 117.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T14:34:21.117000,118.9,2026-06-14T14:04:21.085000,118.3,1800.032,180.0,1800,OK,"prev_temp 118.3 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T15:04:21.874000,119.6999,2026-06-14T14:34:21.117000,118.9,1800.757,180.0,1800,OK,"prev_temp 118.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T15:34:21.178000,120.0999,2026-06-14T15:04:21.874000,119.6999,1799.304,180.0,1800,OK,"prev_temp 119.6999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T16:04:21.212000,119.6999,2026-06-14T15:34:21.178000,120.0999,1800.034,180.0,1800,OK,"prev_temp 120.0999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T17:04:21.275000,119.5,2026-06-14T16:04:21.212000,119.6999,3600.063,180.0,1800,WARNING,"prev_temp 119.6999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T17:34:21.309000,119.5,2026-06-14T17:04:21.275000,119.5,1800.034,180.0,1800,OK,"prev_temp 119.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T18:04:21.340000,119.5999,2026-06-14T17:34:21.309000,119.5,1800.031,180.0,1800,OK,"prev_temp 119.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T18:34:21.371000,119.8,2026-06-14T18:04:21.340000,119.5999,1800.031,180.0,1800,OK,"prev_temp 119.5999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T19:34:21.434000,119.9,2026-06-14T18:34:21.371000,119.8,3600.063,180.0,1800,WARNING,"prev_temp 119.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T20:04:21.464000,120.0,2026-06-14T19:34:21.434000,119.9,1800.03,180.0,1800,OK,"prev_temp 119.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T20:34:21.497000,119.8,2026-06-14T20:04:21.464000,120.0,1800.033,180.0,1800,OK,"prev_temp 120.0 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T21:34:21.558000,136.1,2026-06-14T20:34:21.497000,119.8,3600.061,180.0,1800,WARNING,"prev_temp 119.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T22:04:21.588000,142.0,2026-06-14T21:34:21.558000,136.1,1800.03,180.0,1800,OK,"prev_temp 136.1 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T22:34:21.619000,123.9,2026-06-14T22:04:21.588000,142.0,1800.031,180.0,1800,OK,"prev_temp 142.0 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T23:04:22.391000,113.3,2026-06-14T22:34:21.619000,123.9,1800.772,180.0,1800,OK,"prev_temp 123.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-14T23:34:21.679000,104.5999,2026-06-14T23:04:22.391000,113.3,1799.288,180.0,1800,OK,"prev_temp 113.3 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T00:04:21.709000,111.0999,2026-06-14T23:34:21.679000,104.5999,1800.03,180.0,1800,OK,"prev_temp 104.5999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T00:34:21.739000,77.8,2026-06-15T00:04:21.709000,111.0999,1800.03,180.0,1800,OK,"prev_temp 111.0999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T01:34:21.801000,110.1999,2026-06-15T00:34:21.739000,77.8,3600.062,180.0,1800,WARNING,"prev_temp 77.8 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T02:04:21.835000,113.1999,2026-06-15T01:34:21.801000,110.1999,1800.034,180.0,1800,OK,"prev_temp 110.1999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T02:34:21.865000,114.5,2026-06-15T02:04:21.835000,113.1999,1800.03,180.0,1800,OK,"prev_temp 113.1999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T03:04:21.893000,,2026-06-15T02:34:21.865000,114.5,1800.028,180.0,1800,OK,"prev_temp 114.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T03:34:21.926000,,2026-06-15T03:04:21.893000,,1800.033,180.0,,UNKNOWN_TEMP,"previous temperature missing, cannot determine expected interval"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T04:04:21.955000,65.5,2026-06-15T03:34:21.926000,,1800.029,180.0,,UNKNOWN_TEMP,"previous temperature missing, cannot determine expected interval"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T04:34:21.985000,56.09999,2026-06-15T04:04:21.955000,65.5,1800.03,180.0,1800,OK,"prev_temp 65.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T05:04:22.017000,112.0,2026-06-15T04:34:21.985000,56.09999,1800.032,180.0,1800,OK,"prev_temp 56.09999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T05:34:22.046000,71.4,2026-06-15T05:04:22.017000,112.0,1800.029,180.0,1800,OK,"prev_temp 112.0 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T06:04:22.074000,58.5,2026-06-15T05:34:22.046000,71.4,1800.028,180.0,1800,OK,"prev_temp 71.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T06:34:22.105000,51.7,2026-06-15T06:04:22.074000,58.5,1800.031,180.0,1800,OK,"prev_temp 58.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T07:04:22.132000,65.59999,2026-06-15T06:34:22.105000,51.7,1800.027,180.0,1800,OK,"prev_temp 51.7 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T07:34:22.163000,71.5,2026-06-15T07:04:22.132000,65.59999,1800.031,180.0,1800,OK,"prev_temp 65.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T08:04:22.194000,73.09999,2026-06-15T07:34:22.163000,71.5,1800.031,180.0,1800,OK,"prev_temp 71.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T08:34:22.724000,,2026-06-15T08:04:22.194000,73.09999,1800.53,180.0,1800,OK,"prev_temp 73.09999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T09:04:22.255000,75.9,2026-06-15T08:34:22.724000,,1799.531,180.0,,UNKNOWN_TEMP,"previous temperature missing, cannot determine expected interval"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T10:04:22.317000,110.4,2026-06-15T09:04:22.255000,75.9,3600.062,180.0,1800,WARNING,"prev_temp 75.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T10:34:22.347000,81.69999,2026-06-15T10:04:22.317000,110.4,1800.03,180.0,1800,OK,"prev_temp 110.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T11:04:22.375000,64.4,2026-06-15T10:34:22.347000,81.69999,1800.028,180.0,1800,OK,"prev_temp 81.69999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T11:34:22.403000,55.0,2026-06-15T11:04:22.375000,64.4,1800.028,180.0,1800,OK,"prev_temp 64.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T12:04:22.432000,49.9,2026-06-15T11:34:22.403000,55.0,1800.029,180.0,1800,OK,"prev_temp 55.0 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T12:34:22.461000,46.59999,2026-06-15T12:04:22.432000,49.9,1800.029,180.0,1800,OK,"prev_temp 49.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T13:04:22.490000,44.79999,2026-06-15T12:34:22.461000,46.59999,1800.029,180.0,1800,OK,"prev_temp 46.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T13:34:22.518000,43.29999,2026-06-15T13:04:22.490000,44.79999,1800.028,180.0,1800,OK,"prev_temp 44.79999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T14:34:22.575000,40.5,2026-06-15T13:34:22.518000,43.29999,3600.057,180.0,1800,WARNING,"prev_temp 43.29999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T15:04:22.604000,39.2,2026-06-15T14:34:22.575000,40.5,1800.029,180.0,1800,OK,"prev_temp 40.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T16:04:22.663000,37.5,2026-06-15T15:04:22.604000,39.2,3600.059,180.0,1800,WARNING,"prev_temp 39.2 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T16:34:22.690000,37.0,2026-06-15T16:04:22.663000,37.5,1800.027,180.0,1800,OK,"prev_temp 37.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T17:04:22.718000,36.59999,2026-06-15T16:34:22.690000,37.0,1800.028,180.0,1800,OK,"prev_temp 37.0 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T17:34:22.746000,36.4,2026-06-15T17:04:22.718000,36.59999,1800.028,180.0,1800,OK,"prev_temp 36.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T18:04:22.775000,35.79999,2026-06-15T17:34:22.746000,36.4,1800.029,180.0,1800,OK,"prev_temp 36.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T18:34:22.804000,35.4,2026-06-15T18:04:22.775000,35.79999,1800.029,180.0,1800,OK,"prev_temp 35.79999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T19:04:22.828000,35.2,2026-06-15T18:34:22.804000,35.4,1800.024,180.0,1800,OK,"prev_temp 35.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T19:34:22.857000,34.9,2026-06-15T19:04:22.828000,35.2,1800.029,180.0,1800,OK,"prev_temp 35.2 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T20:04:22.884000,34.59999,2026-06-15T19:34:22.857000,34.9,1800.027,180.0,1800,OK,"prev_temp 34.9 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T20:34:22.911000,34.4,2026-06-15T20:04:22.884000,34.59999,1800.027,180.0,1800,OK,"prev_temp 34.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T21:04:22.940000,34.09999,2026-06-15T20:34:22.911000,34.4,1800.029,180.0,1800,OK,"prev_temp 34.4 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T21:34:22.968000,33.79999,2026-06-15T21:04:22.940000,34.09999,1800.028,180.0,1800,OK,"prev_temp 34.09999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T22:04:22.995000,33.79999,2026-06-15T21:34:22.968000,33.79999,1800.027,180.0,1800,OK,"prev_temp 33.79999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T22:34:23.024000,110.0,2026-06-15T22:04:22.995000,33.79999,1800.029,180.0,1800,OK,"prev_temp 33.79999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-15T23:34:23.085000,71.5,2026-06-15T22:34:23.024000,110.0,3600.061,180.0,1800,WARNING,"prev_temp 110.0 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T00:04:23.116000,68.09999,2026-06-15T23:34:23.085000,71.5,1800.031,180.0,1800,OK,"prev_temp 71.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T01:04:23.178000,67.59999,2026-06-16T00:04:23.116000,68.09999,3600.062,180.0,1800,WARNING,"prev_temp 68.09999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T02:04:23.240000,59.5,2026-06-16T01:04:23.178000,67.59999,3600.062,180.0,1800,WARNING,"prev_temp 67.59999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T02:34:23.270000,51.7,2026-06-16T02:04:23.240000,59.5,1800.03,180.0,1800,OK,"prev_temp 59.5 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T03:04:23.302000,47.29999,2026-06-16T02:34:23.270000,51.7,1800.032,180.0,1800,OK,"prev_temp 51.7 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T03:34:23.330000,67.19999,2026-06-16T03:04:23.302000,47.29999,1800.028,180.0,1800,OK,"prev_temp 47.29999 <= threshold 180.0, expected 1800s"
D5CAAF0615E18000FC8B3004,omron_1,omron,2026-06-16T04:04:23.363000,104.3,2026-06-16T03:34:23.330000,67.19999,1800.033,180.0,1800,OK,"prev_temp 67.19999 <= threshold 180.0, expected 1800s"
